CodeID	LitLen	Literal
1031	37	'SM010 - SEND MAP DATAONLY ALARM FAIL.' [37]
1031	8	'EIBRESP=' [8]
1031	7	' RESP2=' [7]
1034	47	'BNK1DAC - SM010 - SEND MAP DATAONLY ALARM FAIL ' [47]
1054	1	':' [1]
1056	4	'HBNK' [4]
1058		ZEROS
1059	24	'STM010 - SEND TEXT FAIL.' [24]
1059	8	'EIBRESP=' [8]
1059	7	' RESP2=' [7]
1062	33	'BNK1DAC - STM010 - SEND TEXT FAIL' [33]
1071	4	'HBNK' [4]
1091	1	X'E' [1]
1092	1	X'F' [1]
1093	8	'IGZSRTCD' [8]
1101		SPACE
1103		SPACE
1105		SPACE
1107		SPACE
1109		SPACE
1111		0
1112		0
1113		0
1114		SPACE
1121		0
1124	1	'1' [1]
1125	1	'2' [1]
1126	1	'V' [1]
1128		0
1129		0
1130	1	'N' [1]
1131	1	'N' [1]
1132	1	'N' [1]
1146		0
1147	1	'N' [1]
1148		0
1151		0
1152		0
1154		0
1158		SPACES
1163		SPACES
1164		SPACES
1167		SPACE
1168		SPACE
1169		SPACE
1170		SPACE
1171		SPACE
1172		SPACE
1173		SPACE
1174		SPACE
1176		SPACE
1177		SPACE
1178		SPACE
1179		SPACE
1192	1	'.' [1]
1194	1	'.' [1]
1202	8	'ABNDPROC' [8]
1205	8	'ACCTCTRL' [8]
1218		ZERO
1219	1	'Y' [1]
1223	1	'N' [1]
1250	1	X'E' [1]
1251	1	X'F' [1]
1252	8	'IGZSRTCD' [8]
1260		SPACE
1262		SPACE
1264		SPACE
1266		SPACE
1268		SPACE
1270		0
1271		0
1272		0
1273		SPACE
1280		0
1300		0
1301		SPACES
1302		SPACES
1303		0
1304		0
1316	1	'.' [1]
1318	1	'.' [1]
1326	8	'ABNDPROC' [8]
1328	8	'CRDTAGY4' [8]
1331	16	'CIPD            ' [16]
1332	16	'CIPCREDCHANN    ' [16]
1334		3
1334		1
1345	1	':' [1]
1347	4	'PLOP' [4]
1349		ZEROS
1350	36	'A010  - *** The delay messed up! ***' [36]
1350	9	' EIBRESP=' [9]
1350	7	' RESP2=' [7]
1352	29	'*** The delay messed up ! ***' [29]
1353	4	'PLOP' [4]
1355		261
1358	41	'CRDTAGY4 - UNABLE TO GET CONTAINER. RESP=' [41]
1358	8	', RESP2=' [8]
1359	10	'CONTAINER=' [10]
1359	9	' CHANNEL=' [9]
1359	9	' FLENGTH=' [9]
1362		999
1362		1
1364		261
1367	40	'CRDTAGY4- UNABLE TO PUT CONTAINER. RESP=' [40]
1367	8	', RESP2=' [8]
1368	10	'CONTAINER=' [10]
1368	9	' CHANNEL=' [9]
1368	9	' FLENGTH=' [9]
1394	1	X'E' [1]
1395	1	X'F' [1]
1396	8	'IGZSRTCD' [8]
1404		SPACE
1406		SPACE
1408		SPACE
1410		SPACE
1412		SPACE
1414		0
1415		0
1416		0
1417		SPACE
1424		0
1439		SPACES
1444		SPACES
1445		SPACES
1448		SPACE
1449		SPACE
