SrcID	SourceFile	Usage	RecordNumber	CommentNumber	RelevantNumber	Module
56	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/INQACCCU.cbl	CBL	882	137	570	INQACCCU.cbl
57	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/BANKDATA.cbl	CBL	1463	209	1026	BANKDATA.cbl
58	CONTDB2.CPY	<MISSING>	0	0	0	CONTDB2.CPY
59	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/GETCOMPY.cbl	CBL	43	6	22	GETCOMPY.cbl
60	GETCOMPY.CPY	<MISSING>	0	0	0	GETCOMPY.CPY
61	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/DBCRFUN.cbl	CBL	861	196	505	DBCRFUN.cbl
62	PAYDBCR.CPY	<MISSING>	0	0	0	PAYDBCR.CPY
63	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/BNK1DCS.cbl	CBL	2054	364	1316	BNK1DCS.cbl
64	BNK1DCM.CPY	<MISSING>	0	0	0	BNK1DCM.CPY
65	%ITP%/Include/MACLIB/DFHBMSCA.CPY	CPY	53	8	45	DFHBMSCA.CPY
66	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/BNKMENU.cbl	CBL	1311	220	843	BNKMENU.cbl
67	BNK1MAI.CPY	<MISSING>	0	0	0	BNK1MAI.CPY
68	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/BNK1TFN.cbl	CBL	1226	196	828	BNK1TFN.cbl
69	BNK1TFM.CPY	<MISSING>	0	0	0	BNK1TFM.CPY
70	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/UPDCUST.cpy	CPY	0	0	0	UPDCUST.cpy
71	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/INQACCZ.cpy	CPY	0	0	0	INQACCZ.cpy
72	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/ACCDB2.cpy	CPY	0	0	0	ACCDB2.cpy
73	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/GETCOMPY.cpy	CPY	0	0	0	GETCOMPY.cpy
74	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/INQACC.cpy	CPY	0	0	0	INQACC.cpy
75	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/STCUSTNO.cpy	CPY	0	0	0	STCUSTNO.cpy
76	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/BNK1DDM.cpy	CPY	0	0	0	BNK1DDM.cpy
77	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/PROCTRAN.cpy	CPY	0	0	0	PROCTRAN.cpy
78	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/DELACCZ.cpy	CPY	0	0	0	DELACCZ.cpy
79	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/INQACCCU.cpy	CPY	0	0	0	INQACCCU.cpy
80	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/WAZI.cpy	CPY	0	0	0	WAZI.cpy
81	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/ACCOUNT.cpy	CPY	0	0	0	ACCOUNT.cpy
82	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/CONTDB2.cpy	CPY	0	0	0	CONTDB2.cpy
