CodeID	ErrorCode	Error
377	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTRNID
377	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TRANID
379	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-DATE
380	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TIME
381	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-UTIME-KEY
382	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-CODE
383	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-PROGRAM
384	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-SQLCODE
385	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESPCODE
385	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESP2CODE
385	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-FREEFORM
396	10010	E-EMSG10010 Error: Variable not in symbol table: BNK1ACCO
397	10010	E-EMSG10010 Error: Variable not in symbol table: DFHRESP
399	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP
399	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESPCODE
400	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP2
400	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESP2CODE
401	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-APPLID
402	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTASKN
402	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TASKNO-KEY
403	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTRNID
403	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TRANID
405	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-DATE
406	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TIME
407	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-UTIME-KEY
408	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-CODE
409	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-PROGRAM
410	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-SQLCODE
411	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESPCODE
411	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESP2CODE
411	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-FREEFORM
425	10010	E-EMSG10010 Error: Variable not in symbol table: DFHRESP
427	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP
